"product_type","Seller SKU","Brand","Product ID","Product ID Type","Item Name","Manufacturer Part Number","Recommended Browse Nodes","Color Name","Color Map","Size","Included Components","Enclosure Material","Size Map","Batteries Included","Standard Price","Quantity","Update Delete","Maximum Retail Price","Main Image URL","Manufacturer","Description","Model","Search Terms","Bullet Point","Bullet Point","Bullet Point","Bullet Point","Bullet Point","Occassion","Pattern","Product Features","Product Features","Product Features","Product Features","Style","Number of Pieces","Power Source","Shape","Warranty Description","Safety Warning","Legal Disclaimer"
"furnitureanddecor","23","Generic","","","The South Ledges, Appledore ","1AA1552","4380583031","White","White","Standard","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 2.00, Color: OFFWHITE; Total Size: 31.00 X 31.00; Acrylic covered; ","","Medium","FALSE","7120.00","1","Update","7120.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_1AA1552_lowres.jpg","ArteVenue.com","","","woman|sea|marine|coastal","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","24","Generic","","","The South Ledges, Appledore ","1AA1552","4380583031","White","White","Standard","Print on PAPER; Image Size : 24 X 24; ","","Medium","FALSE","5820.00","1","Update","5820.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_1AA1552_lowres.jpg","ArteVenue.com","","","woman|sea|marine|coastal","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","29","Generic","","","Lodge on Lake Como ","2AA4370","4380583031","White","White","Standard","Print on PAPER; Image Print Size : 12 X 6; Frame: Simple Black (1.22inch); Mount: 1.00, Color: OFFWHITE; Total Size: 16.00 X 10.00; Acrylic covered; ","","Medium","FALSE","990.00","1","Update","990.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2AA4370_lowres.jpg","ArteVenue.com","","","Italy|garden|lake|flowers|vase|loggia|trees|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","27","Generic","","","Picture with Three Spot","1WK4346","4380583031","White","White","Standard","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 2.00, Color: OFFWHITE; Total Size: 31.00 X 31.00; Acrylic covered; ","","Medium","FALSE","7120.00","1","Update","7120.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_1WK4346_lowres.jpg","ArteVenue.com","","","","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","25","Generic","","","Improvisation Klamm","1WK4345","4380583031","White","White","Standard","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 1.00, Color: OFFWHITE; Total Size: 16.00 X 16.00; Acrylic covered; ","","Medium","FALSE","1800.00","1","Update","1800.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_1WK4345_lowres.jpg","ArteVenue.com","","","","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","33","Generic","","","Water Lilies","2CM4351","4380583031","White","White","Standard","Print on PAPER; Image Print Size : 12 X 6; Frame: Simple Black (1.22inch); Mount: 1.00, Color: OFFWHITE; Total Size: 16.00 X 10.00; Acrylic covered; ","","Medium","FALSE","990.00","1","Update","990.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2CM4351_lowres.jpg","ArteVenue.com","","","waterlilies|flowers|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","31","Generic","","","Niagara","2AA4371","4380583031","White","White","Standard","Print on PAPER; Image Print Size : 24 X 12; Frame: Dark Wood (1.80inch); Mount: 2.00, Color: OFFWHITE; Total Size: 31.00 X 19.00; Acrylic covered; ","","Medium","FALSE","3890.00","1","Update","3890.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2AA4371_lowres.jpg","ArteVenue.com","","","waterfall|USA|United States of America|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","35","Generic","","","Water Lilies","2CM4352","4380583031","White","White","Standard","Print on PAPER; Image Print Size : 24 X 12; Frame: Dark Wood (1.80inch); Mount: 2.00, Color: OFFWHITE; Total Size: 31.00 X 19.00; Acrylic covered; ","","Medium","FALSE","3890.00","1","Update","3890.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2CM4352_lowres.jpg","ArteVenue.com","","","waterlilies|flowers|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","36","Generic","","","Water Lilies","2CM4352","4380583031","White","White","Standard","Print on PAPER; Image Size : 24 X 12; ","","Medium","FALSE","2910.00","1","Update","2910.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2CM4352_lowres.jpg","ArteVenue.com","","","waterlilies|flowers|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","41","Generic","","","The Kiss, detail (Grey variation)","2GK4484","4380583031","White","White","Standard","Print on PAPER; Image Print Size : 12 X 6; Frame: Simple Black (1.22inch); Mount: 1.00, Color: OFFWHITE; Total Size: 16.00 X 10.00; Acrylic covered; ","","Medium","FALSE","990.00","1","Update","990.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2GK4484_lowres.jpg","ArteVenue.com","","","love|couple|hug|kiss|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","42","Generic","","","The Kiss, detail (Grey variation)","2GK4484","4380583031","White","White","Standard","Print on PAPER; Image Size : 12 X 6; ","","Medium","FALSE","730.00","1","Update","730.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2GK4484_lowres.jpg","ArteVenue.com","","","love|couple|hug|kiss|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","39","Generic","","","The Kiss, detail (Blue variation)","2GK4483","4380583031","White","White","Standard","Print on PAPER; Image Print Size : 24 X 12; Frame: Dark Wood (1.80inch); Mount: 2.00, Color: OFFWHITE; Total Size: 31.00 X 19.00; Acrylic covered; ","","Medium","FALSE","3890.00","1","Update","3890.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2GK4483_lowres.jpg","ArteVenue.com","","","love|couple|hug|kiss|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","26","Generic","","","Improvisation Klamm","1WK4345","4380583031","White","White","Standard","Print on PAPER; Image Size : 12 X 12; ","","Medium","FALSE","1450.00","1","Update","1450.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_1WK4345_lowres.jpg","ArteVenue.com","","","","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","32","Generic","","","Niagara","2AA4371","4380583031","White","White","Standard","Print on PAPER; Image Size : 24 X 12; ","","Medium","FALSE","2910.00","1","Update","2910.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2AA4371_lowres.jpg","ArteVenue.com","","","waterfall|USA|United States of America|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","37","Generic","","","The Young Flautist","2EM4199","4380583031","White","White","Standard","Print on PAPER; Image Print Size : 12 X 24; Frame: Simple Black (1.22inch); Mount: 1.00, Color: OFFWHITE; Total Size: 16.00 X 28.00; Acrylic covered; ","","Medium","FALSE","3430.00","1","Update","3430.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2EM4199_lowres.jpg","ArteVenue.com","","","Museum|Figurative|kids|music|portrait|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","28","Generic","","","Picture with Three Spot","1WK4346","4380583031","White","White","Standard","Print on PAPER; Image Size : 24 X 24; ","","Medium","FALSE","5820.00","1","Update","5820.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_1WK4346_lowres.jpg","ArteVenue.com","","","","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","30","Generic","","","Lodge on Lake Como ","2AA4370","4380583031","White","White","Standard","Print on PAPER; Image Size : 12 X 6; ","","Medium","FALSE","730.00","1","Update","730.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2AA4370_lowres.jpg","ArteVenue.com","","","Italy|garden|lake|flowers|vase|loggia|trees|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","34","Generic","","","Water Lilies","2CM4351","4380583031","White","White","Standard","Print on PAPER; Image Size : 12 X 6; ","","Medium","FALSE","730.00","1","Update","730.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2CM4351_lowres.jpg","ArteVenue.com","","","waterlilies|flowers|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","38","Generic","","","The Young Flautist","2EM4199","4380583031","White","White","Standard","Print on PAPER; Image Size : 12 X 24; ","","Medium","FALSE","2910.00","1","Update","2910.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2EM4199_lowres.jpg","ArteVenue.com","","","Museum|Figurative|kids|music|portrait|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
"furnitureanddecor","40","Generic","","","The Kiss, detail (Blue variation)","2GK4483","4380583031","White","White","Standard","Print on PAPER; Image Size : 24 X 12; ","","Medium","FALSE","2910.00","1","Update","2910.00","C:\artevenue\estore/artevenue//static/amazon_data/images/n_49_2GK4483_lowres.jpg","ArteVenue.com","","","love|couple|hug|kiss|","","","","","","","","","","","","","","1","NA","","Carries no warranties","NA","https://artevenue.com/terms_conditions/"
